Ngram;Quantaty;Percent
оставаться один;45;1
сказать алексей;45;1
и они;44;1
на это;44;1
она хотеть;44;1
она чувствовать;44;1
он она;44;1
и знать;44;1
сам не;44;1
а то;44;1
не замечать;44;1
как ты;44;1
что и;44;1
прибавлять она;44;1
с этот;44;1
в немой;44;1
да но;43;1
как они;43;1
а вы;43;1
подумать он;43;1
муж и;43;1
свой мысль;43;1
к этот;43;1
он казаться;43;1
со я;43;1
его рука;43;1
с вронский;43;1
да да;42;1
в кабинет;42;1
с его;42;1
и его;42;1
спрашивать она;42;1
быть только;42;1
же я;42;1
он думать;42;1
отвечать левин;42;1
его быть;42;1
быть уже;42;1
он испытывать;42;1
вопрос о;42;1
в последний;42;1
который я;42;1
да это;42;1
в себя;42;1
я должный;42;1
во все;42;1
я только;42;1
сказать долли;42;1
ни один;42;1
да и;41;1
только в;41;1
быть что;41;1
он он;41;1
что если;41;1
еще раз;41;1
оттого что;41;1
же ты;41;1
ты сказать;41;1
первый раз;41;1
для что;41;1
же он;41;1
то чтоб;41;1
только один;41;1
знать и;41;1
в комната;40;1
и всегда;40;1
или не;40;1
он только;40;1
за она;40;1
который не;40;1
левин быть;40;1
улыбаться и;40;1
на лицо;40;1
а он;40;1
в голова;40;1
мы не;40;1
что сказать;40;1
как можно;40;1
и для;40;1
этот дело;40;1
и только;39;1
быть как;39;1
лицо его;39;1
со весь;39;1
проговаривать он;39;1
я любить;39;1
у ты;39;1
отвечать он;39;1
жизнь и;39;1
я он;39;1
ко я;39;1
отчего же;39;1
он опять;39;1
представлять себя;39;1
с себя;39;1
в что;39;1
что надо;39;1
совсем не;39;1
и ничто;38;1
друг друг;38;1
голова и;38;1
говорить и;38;1
вот и;38;1
разговор с;38;1
что с;38;1
знать как;38;1
как на;38;1
весь свой;38;1
не переставать;38;1
мочь бы;38;1
он весь;38;1
я никогда;38;1
любовь к;38;1
в это;38;1
и думать;38;1
вы знать;38;1
стол и;38;1
вы быть;38;1
с другой;37;1
теперь в;37;1
уже быть;37;1
в дверь;37;1
чтоб он;37;1
думать она;37;1
боже мой;37;1
не нужно;37;1
пойти в;37;1
с такой;37;1
и сказать;37;1
если ты;37;1
себя в;37;1
рад что;37;1
я все;37;1
и за;37;1
и вронский;37;1
ли он;37;1
дело и;37;1
позволять себя;36;1
который они;36;1
что анна;36;1
точно так;36;1
что весь;36;1
лицо ее;36;1
она за;36;1
ты и;36;1
за рука;36;1
он я;36;1
но левин;36;1
она сам;36;1
он еще;36;1
быть быть;36;1
я так;36;1
она себя;36;1
она понимать;36;1
улыбаться сказать;36;1
он очень;36;1
узнавать что;35;1
положение в;35;1
как в;35;1
вы я;35;1
выходить на;35;1
то более;35;1
с ты;35;1
а что;35;1
быть говорить;35;1
последний время;35;1
он о;35;1
с брат;35;1
от она;35;1
он а;35;1
то я;35;1
и чувствовать;35;1
но ты;35;1
любить и;35;1
когда я;35;1
она становиться;35;1
и когда;35;1
в свет;34;1
другой сторона;34;1
для себя;34;1
себя что;34;1
не уметь;34;1
вы и;34;1
я сделать;34;1
если вы;34;1
и улыбаться;34;1
он приезжать;34;1
сергей иваныч;34;1
этот день;34;1
теперь я;34;1
сидеть на;34;1
правда ли;34;1
что мы;34;1
что такой;34;1
быть для;34;1
я рад;34;1
садиться на;33;1
отвечать на;33;1
он сделать;33;1
за свой;33;1
все в;33;1
дверь и;33;1
с они;33;1
видеть в;33;1
она мочь;33;1
с кто;33;1
левин в;33;1
к брат;33;1
ты я;33;1
о она;33;1
в сила;33;1
то он;33;1
говорить про;33;1
в лицо;33;1
она любить;33;1
он ни;33;1
к жена;33;1
марья николаевна;33;1
александрович и;33;1
лошадь и;33;1
когда они;32;1
то назад;32;1
ни в;32;1
и садиться;32;1
ты думать;32;1
что делать;32;1
обращаться он;32;1
тот который;32;1
знать это;32;1
мочь сказать;32;1
я весь;32;1
выходить в;32;1
приезжать к;32;1
не желать;32;1
же и;32;1
ты хотеть;32;1
долли и;32;1
он должный;32;1
из тот;32;1
он это;32;1
не правда;32;1
ли она;32;1
и взять;32;1
и к;32;1
говорить об;32;1
что для;32;1
и от;32;1
бы я;32;1
вронский не;32;1
этот человек;32;1
тот минута;32;1
первый время;32;1
подумать она;31;1
несколько раз;31;1
ни быть;31;1
что левин;31;1
видеть он;31;1
константин дмитрич;31;1
а вот;31;1
быть такой;31;1
она теперь;31;1
любить она;31;1
он свой;31;1
похожий на;31;1
ты понимать;31;1
и один;31;1
у они;31;1
со свой;31;1
она что;31;1
какой он;30;1
из комната;30;1
как всегда;30;1
показывать что;30;1
не спать;30;1
мать и;30;1
и любить;30;1
но когда;30;1
вот что;30;1
и ты;30;1
если он;30;1
на левин;30;1
это но;30;1
понимать и;30;1
он подходить;30;1
ни на;30;1
думать и;30;1
на тот;30;1
бы быть;30;1
не успевать;30;1
она казаться;30;1
она думать;30;1
что бы;30;1
и мы;30;1
и анна;30;1
видеть и;30;1
находить что;30;1
что дело;30;1
день и;29;1
она уже;29;1
это все;29;1
приходить в;29;1
все и;29;1
он улыбаться;29;1
понимать это;29;1
он ничто;29;1
начинать говорить;29;1
после то;29;1
все много;29;1
да вот;29;1
разве я;29;1
она весь;29;1
и начинать;29;1
приезжать в;29;1
весь его;29;1
вглядываться в;29;1
и увидать;29;1
кити не;29;1
быть она;29;1
с труд;29;1
то и;29;1
я с;29;1
то на;29;1
себя не;29;1
так я;29;1
понимать как;29;1
теперь он;29;1
старый князь;29;1
теперь она;29;1
да что;29;1
она очень;29;1
обращаться она;29;1
мысль и;29;1
по его;29;1
в жизнь;29;1
